Date,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation
25,Wednesday,66,9,7,28,110,3
4,Saturday,78,10,19,20,127,3
20,Friday,27,15,6,10,58,2
28,Saturday,123,37,46,8,214,0
10,Tuesday,24,9,14,23,70,3
7,Tuesday,56,5,17,14,92,3
2,Thursday,21,15,33,12,81,3
21,Sunday,122,40,48,10,220,0
6,Monday,28,29,26,5,88,3
15,Sunday,72,12,14,32,130,1
31,Tuesday,25,7,5,20,57,3
25,Wednesday,137,23,28,7,195,0
13,Friday,178,68,28,4,278,0
4,Saturday,18,1,0,16,35,3
16,Monday,118,40,40,3,201,0
27,Friday,22,7,1,2,32,2
3,Friday,40,10,5,10,65,2
30,Monday,58,24,14,24,120,1
5,Sunday,19,1,0,11,31,2
14,Saturday,117,29,49,2,197,0
27,Friday,24,6,5,11,46,2
19,Thursday,56,23,10,18,107,3
19,Thursday,94,25,19,8,146,3
27,Friday,33,6,0,4,43,2
2,Thursday,14,3,0,39,56,3
16,Monday,121,35,39,4,199,0
21,Sunday,51,7,4,5,67,2
29,Sunday,70,10,8,25,113,1
21,Sunday,46,24,35,16,121,1
3,Friday,32,5,5,13,55,3
2,Thursday,123,37,34,4,198,0
10,Tuesday,124,11,30,7,172,0
26,Thursday,33,17,22,18,90,3
3,Friday,55,17,7,15,94,3
12,Thursday,18,0,0,13,31,3
21,Sunday,20,0,0,37,57,3
15,Sunday,139,19,50,2,210,0
29,Sunday,15,4,0,27,46,3
23,Monday,93,21,22,29,165,1
24,Tuesday,119,22,32,9,182,0
25,Wednesday,108,10,36,6,160,1
8,Wednesday,108,40,25,6,179,0
29,Sunday,56,14,38,12,120,1
5,Sunday,124,29,41,1,195,0
21,Sunday,117,19,42,3,181,0
6,Monday,80,16,5,10,111,2
11,Wednesday,125,15,49,0,189,0
23,Monday,52,6,13,21,92,3
6,Monday,108,27,44,5,184,0
2,Thursday,74,5,19,5,103,3
13,Friday,53,19,1,10,83,2
20,Friday,19,1,0,11,31,2
17,Tuesday,100,21,33,7,161,1
23,Monday,17,1,1,36,55,3
27,Friday,58,14,0,15,87,3
31,Tuesday,17,0,1,14,32,3
5,Sunday,102,6,14,35,157,1
29,Sunday,112,13,37,6,168,0
4,Saturday,96,29,6,17,148,3
27,Friday,47,6,2,12,67,2
14,Saturday,70,10,14,32,126,1
14,Saturday,114,23,42,10,189,0
15,Sunday,112,15,40,10,177,0
18,Wednesday,118,32,32,10,192,0
20,Friday,89,26,0,2,117,3
23,Monday,16,1,1,37,55,3
19,Thursday,14,2,0,25,41,3
21,Sunday,54,5,11,24,94,3
31,Tuesday,19,1,1,28,49,3
21,Sunday,65,19,16,11,111,3
17,Tuesday,14,24,26,9,73,3
23,Monday,20,8,14,30,72,3
10,Tuesday,80,17,12,34,143,1
10,Tuesday,122,28,33,1,184,0
12,Thursday,14,21,7,18,60,3
28,Saturday,55,6,5,27,93,3
29,Sunday,46,6,7,21,80,3
29,Sunday,95,22,28,9,154,1
25,Wednesday,17,4,0,11,32,2
6,Monday,11,1,1,40,53,3
28,Saturday,14,3,0,20,37,3
15,Sunday,12,3,1,35,51,3
28,Saturday,70,20,11,14,115,3
28,Saturday,135,11,23,5,174,0
10,Tuesday,13,1,0,19,33,3
24,Tuesday,116,20,17,19,172,0
28,Saturday,80,26,35,6,147,1
4,Saturday,106,19,10,17,152,3
8,Wednesday,109,21,10,12,152,3
3,Friday,140,67,20,4,231,0
26,Thursday,133,19,28,5,185,0
22,Saturday,79,22,17,13,131,3
4,Saturday,30,24,13,13,80,3
14,Saturday,56,7,12,12,87,2
4,Saturday,123,35,45,1,204,0
30,Monday,88,13,19,19,139,3
26,Thursday,52,13,5,15,85,3
11,Wednesday,51,7,3,24,85,3
28,Saturday,25,12,13,5,55,2
14,Saturday,14,5,1,12,32,2
26,Thursday,35,7,15,24,81,3
2,Thursday,62,5,14,23,104,3
14,Saturday,60,14,28,9,111,3
23,Monday,18,3,0,11,32,2
11,Wednesday,108,24,15,29,176,0
22,Saturday,72,6,19,8,105,3
7,Tuesday,36,5,6,20,67,3
23,Monday,105,4,4,20,133,3
17,Tuesday,65,7,7,22,101,3
28,Saturday,53,8,6,23,90,3
30,Monday,147,21,40,9,217,0
30,Monday,32,19,39,9,99,3
7,Tuesday,101,21,34,18,174,0
30,Monday,95,12,20,15,142,3
13,Friday,17,4,0,13,34,3
11,Wednesday,55,17,12,19,103,3
19,Thursday,7,12,33,12,64,3
15,Sunday,88,8,11,29,136,1
11,Wednesday,18,4,0,16,38,3
30,Monday,19,2,0,22,43,3
13,Friday,49,10,2,10,71,2
12,Thursday,105,35,48,6,194,0
21,Sunday,97,23,6,17,143,3
7,Tuesday,60,12,8,15,95,3
10,Tuesday,33,10,3,29,75,3
17,Tuesday,13,5,0,17,35,3
14,Saturday,126,36,24,0,186,0
14,Saturday,139,15,21,3,178,0
2,Thursday,59,5,36,12,112,1
23,Monday,135,20,31,0,186,0
4,Saturday,100,16,49,7,172,0
15,Sunday,62,10,6,22,100,3
29,Sunday,32,6,10,23,71,3
16,Monday,128,22,28,8,186,0
26,Thursday,126,34,38,9,207,0
30,Monday,138,39,45,4,226,0
27,Friday,158,46,20,1,225,0
13,Friday,169,70,20,3,262,0
24,Tuesday,136,38,20,5,199,0
23,Monday,51,8,18,18,95,3
11,Wednesday,142,13,37,8,200,0
9,Thursday,26,16,13,16,71,3
3,Friday,61,20,7,14,102,3
26,Thursday,90,4,10,20,124,3
12,Thursday,118,25,31,13,187,0
21,Sunday,100,12,39,7,158,1
8,Wednesday,17,4,1,15,37,3
25,Wednesday,20,3,1,35,59,3
28,Saturday,65,10,8,22,105,3
30,Monday,13,3,1,12,29,2
18,Wednesday,141,24,47,4,216,0
15,Sunday,19,3,1,27,50,3
22,Saturday,57,8,10,22,97,3
17,Tuesday,42,25,38,18,123,1
10,Tuesday,114,37,21,5,177,0
25,Wednesday,117,10,27,8,162,1
1,Wednesday,127,35,23,10,195,0
16,Monday,96,9,1,16,122,3
28,Saturday,115,23,22,7,167,3
28,Saturday,17,4,1,38,60,3
14,Saturday,19,3,0,36,58,3
4,Saturday,89,25,20,24,158,1
1,Wednesday,102,15,2,7,126,3
13,Friday,18,4,1,36,59,3
6,Monday,84,12,15,15,126,3
18,Wednesday,23,3,37,18,81,3
4,Saturday,112,16,30,11,169,0
3,Friday,174,54,25,1,254,0
10,Tuesday,123,10,29,8,170,0
6,Monday,79,1,10,30,120,1
27,Friday,28,18,5,10,61,2
7,Tuesday,67,23,7,3,100,2
8,Wednesday,16,5,0,14,35,3
19,Thursday,100,38,36,9,183,0
15,Sunday,17,3,1,17,38,3
4,Saturday,105,32,43,0,180,0
4,Saturday,10,4,1,16,31,3
17,Tuesday,86,6,12,9,113,3
2,Thursday,12,3,0,39,54,3
18,Wednesday,15,5,0,21,41,3
6,Monday,59,29,15,16,119,3
16,Monday,74,18,37,11,140,1
25,Wednesday,22,5,6,26,59,3
7,Tuesday,106,19,38,4,167,3
26,Thursday,44,6,4,27,81,3
7,Tuesday,54,9,12,10,85,2
25,Wednesday,113,16,50,2,181,0
30,Monday,99,7,3,6,115,3
7,Tuesday,121,28,21,5,175,0
19,Thursday,103,11,35,5,154,1
26,Thursday,127,27,40,5,199,0
12,Thursday,24,10,5,21,60,3
15,Sunday,35,10,5,30,80,3
17,Tuesday,113,11,32,1,157,1
21,Sunday,19,5,1,31,56,3
6,Monday,148,10,28,2,188,0
3,Friday,134,47,22,3,206,0
23,Monday,28,15,27,12,82,3
22,Saturday,34,5,27,22,88,3
1,Wednesday,108,17,33,7,165,1
2,Thursday,117,22,11,5,155,3
23,Monday,18,6,6,6,36,2
25,Wednesday,142,40,22,6,210,0
25,Wednesday,60,25,24,17,126,3
1,Wednesday,128,15,43,5,191,0
15,Sunday,62,10,11,22,105,3
30,Monday,82,20,10,11,123,3
14,Saturday,76,10,7,9,102,2
15,Sunday,10,0,1,31,42,3
6,Monday,139,25,41,5,210,0
22,Saturday,54,17,17,19,107,3
22,Saturday,43,9,3,25,80,3
11,Wednesday,11,4,0,30,45,3
18,Wednesday,19,0,0,35,54,3
7,Tuesday,51,14,33,14,112,1
23,Monday,86,18,6,1,111,2
20,Friday,173,64,10,2,249,0
22,Saturday,110,30,46,5,191,0
2,Thursday,14,5,0,19,38,3
5,Sunday,10,0,1,34,45,3
1,Wednesday,40,6,11,28,85,3
8,Wednesday,91,18,19,26,154,1
23,Monday,72,7,1,4,84,2
16,Monday,139,11,20,7,177,0
17,Tuesday,96,11,15,14,136,3
13,Friday,72,22,8,2,104,2
17,Tuesday,17,2,0,24,43,3
6,Monday,68,7,5,25,105,3
6,Monday,56,11,9,15,91,3
8,Wednesday,108,39,34,5,186,0
16,Monday,117,11,45,0,173,0
7,Tuesday,29,7,3,28,67,3
10,Tuesday,136,30,20,9,195,0
24,Tuesday,10,2,1,12,25,2
5,Sunday,67,1,22,14,104,3
14,Saturday,18,1,1,35,55,3
10,Tuesday,88,26,31,19,164,1
26,Thursday,146,17,34,0,197,0
1,Wednesday,76,28,39,14,157,1
24,Tuesday,95,6,11,35,147,1
25,Wednesday,16,4,0,35,55,3
13,Friday,57,11,7,10,85,2
22,Saturday,69,23,12,31,135,1
18,Wednesday,15,1,1,29,46,3
18,Wednesday,20,2,0,37,59,3
24,Tuesday,18,4,1,39,62,3
21,Sunday,18,5,1,13,37,3
26,Thursday,102,20,4,12,138,3
29,Sunday,27,27,32,10,96,3
14,Saturday,15,5,0,15,35,3
31,Tuesday,90,25,18,20,153,3
6,Monday,88,11,10,3,112,3
15,Sunday,49,16,9,12,86,2
5,Sunday,19,5,1,29,54,3
8,Wednesday,93,14,20,17,144,3
18,Wednesday,102,24,2,8,136,3
22,Saturday,14,3,0,33,50,3
2,Thursday,145,30,40,8,223,3
27,Friday,12,0,0,17,29,3
6,Monday,20,0,1,36,57,3
11,Wednesday,125,13,26,2,166,1
3,Friday,60,11,4,10,85,2
7,Tuesday,134,23,28,10,195,0
16,Monday,110,25,19,34,188,0
25,Wednesday,49,10,6,27,92,3
13,Friday,33,9,6,13,61,3
19,Thursday,99,14,33,14,160,1
12,Thursday,90,7,18,15,130,3
18,Wednesday,19,0,0,18,37,3
20,Friday,60,21,2,1,84,2
11,Wednesday,20,1,1,32,54,3
28,Saturday,71,24,15,26,136,1
12,Thursday,120,17,23,1,161,3
4,Saturday,140,35,50,0,225,0
14,Saturday,68,6,12,24,110,3
24,Tuesday,52,25,15,19,111,3
17,Tuesday,13,1,0,26,40,3
2,Thursday,78,13,20,25,136,1
3,Friday,11,5,1,11,28,2
14,Saturday,79,14,23,6,122,3
17,Tuesday,144,40,29,10,223,3
9,Thursday,112,26,30,4,172,0
22,Saturday,20,27,32,12,91,3
9,Thursday,108,24,19,10,161,3
8,Wednesday,34,23,19,17,93,3
27,Friday,19,5,1,18,43,3
19,Thursday,68,5,5,24,102,3
30,Monday,67,9,11,21,108,3
28,Saturday,46,20,18,5,89,3
15,Sunday,114,24,46,2,186,0
24,Tuesday,35,10,12,24,81,3
1,Wednesday,149,26,46,1,222,0
16,Monday,101,13,20,7,141,3
2,Thursday,101,20,42,4,167,3
13,Friday,42,10,3,1,56,2
18,Wednesday,139,25,43,7,214,0
1,Wednesday,40,9,5,20,74,3
10,Tuesday,145,23,27,0,195,0
30,Monday,54,23,10,25,112,1
20,Friday,144,66,11,3,224,0
29,Sunday,12,2,0,39,53,3
29,Sunday,149,28,20,10,207,0
20,Friday,10,2,1,20,33,3
11,Wednesday,86,13,11,35,145,1
24,Tuesday,70,16,15,29,130,1
11,Wednesday,18,5,0,21,44,3
11,Wednesday,144,17,33,7,201,0
14,Saturday,65,15,15,8,103,2
10,Tuesday,41,23,20,17,101,3
10,Tuesday,53,21,20,10,104,3
25,Wednesday,70,8,3,22,103,3
3,Friday,147,52,26,0,225,0
24,Tuesday,19,4,1,17,41,3
12,Thursday,15,0,0,32,47,3
18,Wednesday,37,3,32,18,90,3
8,Wednesday,101,19,23,5,148,3
22,Saturday,84,21,13,9,127,3
24,Tuesday,101,14,24,0,139,3
27,Friday,136,60,27,2,225,0
26,Thursday,18,0,0,31,49,3
7,Tuesday,121,22,30,0,173,0
5,Sunday,126,40,39,8,213,0
7,Tuesday,76,24,14,15,129,3
11,Wednesday,104,17,25,20,166,3
29,Sunday,40,14,18,21,93,3
21,Sunday,100,15,8,20,143,3
3,Friday,79,26,21,2,128,3
8,Wednesday,69,18,0,12,99,2
2,Thursday,17,3,1,36,57,3
20,Friday,11,2,0,35,48,3
11,Wednesday,89,8,12,13,122,3
19,Thursday,15,4,0,17,36,3
20,Friday,50,26,9,1,86,2
18,Wednesday,52,18,22,16,108,3
17,Tuesday,117,29,29,9,184,0
22,Saturday,126,27,44,8,205,0
15,Sunday,63,5,23,12,103,3
15,Sunday,104,12,16,20,152,3
8,Wednesday,66,9,6,30,111,3
29,Sunday,39,8,23,13,83,3
14,Saturday,58,8,6,23,95,3
1,Wednesday,108,12,23,8,151,3
27,Friday,76,30,20,1,127,3
5,Sunday,18,4,0,11,33,2
6,Monday,83,11,14,33,141,1
12,Thursday,103,27,45,1,176,0
29,Sunday,26,5,8,25,64,3
27,Friday,19,4,0,12,35,2
21,Sunday,18,5,0,29,52,3
2,Thursday,15,4,1,21,41,3
2,Thursday,110,31,37,7,185,0
11,Wednesday,50,10,10,17,87,3
17,Tuesday,113,12,22,6,153,3
29,Sunday,86,5,1,13,105,3
29,Sunday,117,14,39,0,170,0
8,Wednesday,58,10,5,27,100,3
24,Tuesday,15,0,1,26,42,3
23,Monday,16,1,0,32,49,3
2,Thursday,12,5,0,23,40,3
16,Monday,105,13,48,5,171,0
31,Tuesday,123,12,22,3,160,3
13,Friday,29,6,1,12,48,2
11,Wednesday,43,13,30,20,106,3
26,Thursday,81,21,19,7,128,3
29,Sunday,18,0,0,20,38,3
2,Thursday,100,17,16,33,166,1
14,Saturday,31,2,29,27,89,3
12,Thursday,62,12,11,18,103,3
12,Thursday,102,6,15,6,129,3
15,Sunday,138,17,48,8,211,0
22,Saturday,80,12,10,22,124,1
18,Wednesday,107,15,48,5,175,0
17,Tuesday,20,1,1,38,60,3
7,Tuesday,131,28,43,5,207,0
20,Friday,16,2,0,15,33,3
9,Thursday,54,1,35,26,116,1
23,Monday,10,0,0,22,32,3
18,Wednesday,14,5,0,17,36,3
6,Monday,44,5,3,28,80,3
8,Wednesday,100,13,23,9,145,3
19,Thursday,119,38,47,7,211,0
12,Thursday,135,37,34,5,211,0
8,Wednesday,10,5,0,39,54,3
11,Wednesday,55,15,36,15,121,1
18,Wednesday,103,14,13,9,139,3
7,Tuesday,13,1,0,38,52,3
18,Wednesday,134,39,21,9,203,0
5,Sunday,78,15,14,28,135,1
12,Thursday,10,19,26,8,63,3
2,Thursday,12,4,0,40,56,3
25,Wednesday,59,25,2,7,93,2
19,Thursday,14,2,0,15,31,3
21,Sunday,17,4,1,24,46,3
11,Wednesday,116,23,20,8,167,3
15,Sunday,96,9,18,25,148,1
31,Tuesday,86,13,27,11,137,1
3,Friday,139,44,16,1,200,0
26,Thursday,20,5,0,30,55,3
13,Friday,10,3,0,12,25,2
9,Thursday,14,3,1,15,33,3
14,Saturday,142,23,25,7,197,0
14,Saturday,39,10,4,29,82,3
28,Saturday,104,32,23,5,164,3
20,Friday,12,4,0,29,45,3
28,Saturday,108,13,38,1,160,1
14,Saturday,120,12,22,3,157,3
24,Tuesday,73,12,5,5,95,2
3,Friday,72,8,6,12,98,2
11,Wednesday,51,16,16,13,96,3
22,Saturday,37,19,38,12,106,3
4,Saturday,14,2,1,22,39,3
6,Monday,66,22,17,16,121,3
13,Friday,31,11,1,12,55,2
7,Tuesday,59,27,10,18,114,3
27,Friday,63,28,22,0,113,3
13,Friday,82,23,14,0,119,3
1,Wednesday,14,0,0,34,48,3
21,Sunday,47,10,6,22,85,3
24,Tuesday,131,26,36,0,193,0
28,Saturday,94,14,14,24,146,1
15,Sunday,72,26,6,4,108,2
26,Thursday,57,12,9,17,95,3
12,Thursday,51,23,6,1,81,2
17,Tuesday,15,3,0,19,37,3
24,Tuesday,29,5,12,21,67,3
31,Tuesday,13,0,0,16,29,3
13,Friday,42,1,5,11,59,2
22,Saturday,98,16,17,15,146,3
19,Thursday,14,3,1,26,44,3
29,Sunday,144,28,24,8,204,0
6,Monday,73,5,20,10,108,3
7,Tuesday,73,22,21,29,145,1
14,Saturday,115,27,9,16,167,3
2,Thursday,36,5,14,25,80,3
26,Thursday,34,8,6,30,78,3
28,Saturday,138,32,26,4,200,0
15,Sunday,129,28,40,6,203,0
3,Friday,45,2,7,7,61,2
6,Monday,51,22,12,16,101,3
10,Tuesday,42,4,4,5,55,2
31,Tuesday,41,20,32,12,105,3
27,Friday,38,7,1,13,59,3
28,Saturday,45,24,31,11,111,3
14,Saturday,124,34,24,4,186,0
28,Saturday,111,12,9,17,149,3
16,Monday,14,4,1,28,47,3
1,Wednesday,64,10,4,28,106,3
12,Thursday,18,1,1,16,36,3
12,Thursday,15,0,1,20,36,3
12,Thursday,16,22,12,20,70,3
5,Sunday,40,8,12,21,81,3
23,Monday,120,26,22,1,169,0
11,Wednesday,12,2,1,17,32,3
7,Tuesday,120,10,3,16,149,3
18,Wednesday,119,12,6,4,141,3
31,Tuesday,6,24,12,13,55,3
18,Wednesday,99,18,7,5,129,3
8,Wednesday,93,10,9,15,127,3
6,Monday,70,21,32,18,141,1
24,Tuesday,95,15,4,19,133,3
23,Monday,94,10,11,22,137,1
11,Wednesday,17,3,1,36,57,3
25,Wednesday,131,19,26,1,177,0
15,Sunday,20,3,0,16,39,3
21,Sunday,102,16,43,4,165,1
18,Wednesday,46,5,9,23,83,3
20,Friday,179,63,12,2,256,0
4,Saturday,36,5,14,22,77,3
12,Thursday,124,11,22,0,157,3
1,Wednesday,142,37,46,3,228,0
5,Sunday,91,16,28,9,144,1
16,Monday,91,2,3,5,101,2
18,Wednesday,69,5,13,22,109,3
8,Wednesday,112,33,29,3,177,0
3,Friday,20,2,0,19,41,3
26,Thursday,55,15,1,10,81,2
14,Saturday,50,12,15,18,95,3
20,Friday,75,6,1,10,92,2
7,Tuesday,113,20,7,13,153,3
4,Saturday,148,17,42,5,212,0
7,Tuesday,18,2,1,27,48,3
26,Thursday,14,2,1,14,31,3
18,Wednesday,51,23,15,13,102,3
12,Thursday,85,22,9,9,125,3
10,Tuesday,50,0,3,0,53,2
26,Thursday,103,28,32,1,164,1
14,Saturday,13,11,39,7,70,3
17,Tuesday,13,4,0,28,45,3
31,Tuesday,129,31,36,1,197,0
6,Monday,123,27,22,4,176,0
17,Tuesday,20,3,1,32,56,3
16,Monday,147,26,40,0,213,0
23,Monday,11,3,1,37,52,3
